,Comparison,Slope,R_squared,P_value
39,LDHA,1.31477634963025,0.8376442768296549,1.0061231694299965e-77
686,PFKP,2.4279520312890566,0.8286914902667307,1.7492179119615764e-75
275,HK2,1.75398933396511,0.819093884908326,3.2966726413648835e-73
455,ENO2,1.9255201606175376,0.8183962386624352,4.772339817646769e-73
140,GYS1,1.2102222912075105,0.8120425228338571,1.3005894272834703e-71
294,ALDOC,1.162459907613533,0.8112723618413534,1.9267698971743887e-71
502,PGK1,0.8778703487256302,0.8055907923588624,3.333832889475828e-70
216,PDK1,1.224539955475214,0.8029746706512663,1.2048789556853388e-69
557,DDB2,1.1842172481706386,0.7993582645380066,6.922063305928212e-69
682,ACLY,1.3676219242446535,0.7984916172458967,1.0475262685709178e-68
683,ACLY,1.3676219242446535,0.7984916172458967,1.0475262685709178e-68
187,BRIX1,0.8187626434621147,0.7923251947986346,1.899036625021104e-67
90,ENPP3,1.3808815358088518,0.7862711276683922,3.007447324290372e-66
716,TPI1,0.7638717158101223,0.783686898219639,9.549664263130822e-66
346,GPX3,-1.492578515273329,0.7773033910277765,1.5642120412213273e-64
301,SLC2A1,1.7530419390202452,0.769208643762199,4.8429337536977587e-63
384,SLC2A3,1.5116930637156438,0.7579401758093668,4.739962855498982e-61
565,ICAM1,1.1328037436099567,0.7561846518647353,9.496227289388975e-61
292,ACTN4,-1.12089296051382,0.7515431066595436,5.822518501837874e-60
291,ACTN4,-1.12089296051382,0.7515431066595436,5.822518501837874e-60
564,EIF4EBP1,0.7194304836841612,0.7476141712853981,2.632506265457034e-59
664,GRB14,-1.3165970637740885,0.7412653840106519,2.8707454316448374e-58
182,CAV1,1.3682975874072205,0.7393786328767661,5.773866277127876e-58
418,TYMP,1.2942925742383613,0.7389486546699656,6.765802751312128e-58
1,MAPK1,0.48748940486555353,0.7384307324006211,8.186615988106526e-58
429,FGF1,-1.4484179941808972,0.734552441115208,3.371831822092738e-57
621,VIL1,-1.5169285421769054,0.73421606857303,3.808575524742369e-57
41,MAP4K3,-0.485336257411283,0.7331548104567938,5.587472098596031e-57
339,NPC2,-1.550740884969684,0.7326382679754061,6.729667328584583e-57
34,ITGA5,0.8618078162431018,0.7320646305546847,8.270242636878825e-57
516,ANGPTL4,1.4625894019802979,0.7298693727240485,1.8128594007919763e-56
223,ALDOB,-1.932592099376792,0.7278325533822919,3.7337757313035317e-56
2,FHIT,-0.9969804149712135,0.7266158249576724,5.734254188922349e-56
503,FABP1,-1.9870057421450111,0.725351730942175,8.936865189922658e-56
137,PRKAR2B,-1.1589829636179902,0.720785240964015,4.365577232977516e-55
267,BAIAP2,-1.1276486750271415,0.7187153356760287,8.883722302990558e-55
655,CCND1,1.2861564285421765,0.7327496042231264,1.294507634212583e-54
616,COL4A4,-1.4489675640260236,0.7328186277287966,2.4520894548719558e-54
330,VIM,0.9467590991791305,0.7103678390243255,1.4803540260082205e-53
226,TSPAN8,-2.2234864606616243,0.7101840170211485,1.573524780995591e-53
386,MET,0.9278728915457721,0.7069525602584533,4.5724306749275935e-53
470,LRRK2,0.866893349214858,0.7064873901733606,5.326181047588064e-53
457,CDH16,-1.276756618310073,0.7058943605300275,6.467673706154811e-53
712,ABCC3,0.9792360462823814,0.705564594892909,7.20392739134414e-53
491,ACAA1,-1.270964090629826,0.7016709060157533,2.549699555655885e-52
184,BCR,-0.45741477447739365,0.699443174672552,5.2160781544646915e-52
319,MIF,0.5403169573152615,0.6992704840218817,5.512456009586928e-52
252,MAPKAP1,-0.31529715207685094,0.6990904887187099,5.8391117448070995e-52
523,PFKFB2,-1.5002535782791986,0.7134920175578374,7.904832858194442e-52
522,PFKFB2,-1.5002535782791986,0.7134920175578374,7.904832858194442e-52
225,PFN1,0.4465880134594715,0.6979252732267098,8.46910327868195e-52
15,CSPG4,1.0809677716239598,0.6968110877383505,1.2069129775788767e-51
189,CAB39,-0.320118498063277,0.6912799352250083,6.872727022453623e-51
444,RASA1,0.4066508098637035,0.6877388822730014,2.0593060969390414e-50
151,PGK2,0.8288731371844278,0.6867436237909201,2.797072008675318e-50
308,LDHB,-0.8524574401167825,0.6847808745559933,5.101869788974704e-50
162,RICTOR,-0.2986138507279685,0.6840359301407496,6.402883397439653e-50
439,ARHGEF7,0.41885215110041357,0.6836729936278609,7.150757352260938e-50
697,ARF6,-0.43866823527537163,0.6835706998040698,7.376737275466441e-50
435,MGAM,-1.3092498210599026,0.6816562300598908,1.3181110810802954e-49
442,ANXA2,0.7290154269895825,0.6745209271812935,1.1126724251180944e-48
515,BAX,0.4920967981094314,0.6738382440411007,1.361258685996602e-48
180,DIAPH1,0.6017125424629745,0.673643336558278,1.4418149545196576e-48
282,NEDD4,0.49527732599526253,0.6680315282466522,7.439033874405791e-48
149,PCK1,-1.5828020589417586,0.6672932012654141,9.212495827068002e-48
55,PSAT1,-1.646015076935488,0.6638567675847169,2.4768526358674484e-47
25,SFRP1,-1.4891480173694243,0.6635552756900318,2.7000695869388675e-47
438,MYL3,-0.9370299741656427,0.6611870002096271,5.303814397475767e-47
466,ITGAX,1.4484140504093335,0.6596109339630039,8.2906773999267e-47
18,COL4A1,-0.9445985467544785,0.6574374010900453,1.5299338135393331e-46
395,ENO1,0.9399038221591185,0.6558862886252868,2.363375745766805e-46
700,CAV2,1.1701112718378222,0.655754894518964,2.451839669647867e-46
392,HSPB1,0.6416244719498323,0.6519012925375275,7.159408026565052e-46
186,CYCS,-1.0051638507008427,0.6513321617235697,8.378644132325565e-46
476,ITGB2,1.1621080200023588,0.6511632830067874,8.778455473983487e-46
261,SDSL,-0.8249619605958067,0.6509193300898342,9.38955010704077e-46
23,ACADM,-1.2294087974582821,0.6491192106500897,1.5405671222224863e-45
262,FKBP1A,0.4300725012187658,0.6490063882269806,1.5889907985001825e-45
65,MYH10,-1.1560974493229899,0.6972294950291039,3.468307227198822e-45
64,MYH10,-1.1560974493229899,0.6972294950291039,3.468307227198822e-45
63,MYH10,-1.1560974493229899,0.6972294950291039,3.468307227198822e-45
337,BID,0.5162364831439019,0.6455734232442437,4.0555846649321646e-45
404,PCK2,-1.4898171494420078,0.6451664138332768,4.5293777203736134e-45
219,ANGPT2,1.269108585257462,0.6442313034393874,5.835495001629549e-45
248,SCD,1.3504068027504468,0.6617348993094454,6.104083301734963e-45
608,KTN1,-0.45876606162770606,0.6433300078562646,7.445013765012834e-45
233,SDS,1.5096498741298585,0.6746410869257627,8.928528490993902e-45
451,GNG10,0.6808597440555727,0.6416112319544229,1.182681437159128e-44
249,SLC5A2,-1.5939434426097394,0.6404954724095401,1.595281129244887e-44
115,SOS1,0.28218169354606787,0.6366137155679761,4.486382494929212e-44
378,CYP4A11,-1.3179045477324507,0.6359420262698915,5.359390763823668e-44
718,MYOF,0.7898472494523341,0.6310046980149724,1.9606880846623708e-43
89,SLIT2,-0.9856039998017786,0.6466319421483971,3.359819854456048e-43
415,MDH1,-0.45229177147084,0.6266111511829175,6.1290039131066914e-43
453,PAK2,0.32341689777158916,0.6260497744782213,7.082998110443e-43
321,LGALS3,0.839581435233638,0.6260325446976072,7.114492650140297e-43
160,STK4,0.6687953165921667,0.6249605272383816,9.372477428299706e-43
460,AHR,0.6988301734742416,0.6214894777745581,2.275820175075714e-42
410,ARHGEF1,0.4549329063509616,0.6214198160818609,2.3165106104088756e-42
158,PRKAR2A,-0.3560880063306434,0.6200528187823424,3.277767784934418e-42
651,TGFB1,0.7596389411542,0.6198138585081944,3.48236108645617e-42
365,RAPGEF2,0.4806225335123508,0.6171596315267172,6.805326674279727e-42
209,PLA2G4F,-1.0668368885614878,0.6524591310086142,8.709071840536413e-42
199,PARVG,1.1532217142379555,0.615827836433228,9.508115982598486e-42
29,PRKD2,0.39015877977384505,0.6157583874903892,9.675085681189933e-42
163,EHHADH,-1.1088008501798114,0.6154874589507517,1.0354655272695166e-41
472,CSNK2A1,0.2203493836029011,0.614317113748427,1.387549954204718e-41
585,COL4A3,-0.6721994450903668,0.6141211843811833,1.45710655529776e-41
421,LDHD,-1.1435320499975599,0.6139384259659774,1.5250930096026805e-41
403,DUSP9,-1.3094734499082978,0.630231827252044,2.1605089446460808e-41
380,PTPRC,1.088594587708691,0.6120903492135038,2.415710326484887e-41
364,SLC9A3,-1.5411608900615765,0.6464472085556149,3.8900670552558437e-41
177,COL4A2,-0.744131498754899,0.6072164677360321,8.041367323802306e-41
27,HAVCR1,1.574466070400491,0.6218775548289295,1.0300689858188431e-40
238,NTN1,-1.1289103485069296,0.6800837592347039,1.0742130948139937e-40
318,BST2,0.7723777254678601,0.6049706082522803,1.3926127941361019e-40
581,SLC5A10,-1.3532438133074605,0.6030252671336113,2.235268555183084e-40
26,GNAI2,0.3697902343172191,0.6000971514216289,4.5369666956605155e-40
61,CRABP1,-1.8260016693723817,0.6355638504143512,5.48433828322217e-40
132,HLA-DMA,0.8944715708421606,0.5965610594288083,1.059413765271188e-39
644,PRKACA,-0.2954404791852015,0.5954770820435437,1.3719055505169966e-39
417,TJP1,-0.8147021116853496,0.6101321400302101,2.7852682244460752e-39
58,HLA-F,0.9835575162714445,0.5914614405186387,3.553046876233008e-39
341,CEBPZ,0.3772862471325429,0.5910806211908065,3.886724494083741e-39
478,PRKCA,-0.5715242816796704,0.5903047201181816,4.665496114885441e-39
48,NFKB1,0.38708416326011463,0.5871358171621706,9.801360061328623e-39
416,IQGAP1,0.3523256865206402,0.5847286364112441,1.7160956776845272e-38
37,IFNGR1,0.47489108357077253,0.5846304916254498,1.755616518863769e-38
288,ETNK2,-0.8565069691179727,0.6011296712162576,2.2656687917888877e-38
413,SLC6A19,-1.1890298923297085,0.5834749841997965,2.2944236781482776e-38
575,ANXA1,0.9407321964633765,0.5832998616885056,2.389257486994759e-38
462,RASAL3,0.8143555416137116,0.5826416398912752,2.781693337814307e-38
562,TNFAIP3,0.5691453831368296,0.6138788986690451,3.2709596906996496e-38
452,PLCB2,0.7408728772586414,0.58126383227941,3.8214190568836384e-38
334,GGT1,-0.9420001647255004,0.5800912733259417,5.003114364458359e-38
328,HSP90AA1,-0.28725324353329795,0.5778967860644809,8.267417840315338e-38
517,CDH13,1.0045185220335786,0.5770130731495511,1.0113275403741194e-37
179,ERBB2,-0.555654896443387,0.5768818997797284,1.041999742603464e-37
587,COL5A3,1.214387970075136,0.5759591579418682,1.2853849297565356e-37
594,RPS6KB1,0.3111522729894133,0.5750260859021845,1.5886169916181507e-37
464,VAV1,0.8658844238725184,0.5718063015073833,3.2877961455441557e-37
281,VWF,1.0337488184445445,0.5715303163569151,3.4984145008937267e-37
500,FTH1,1.52455292176046,0.5701953685761759,4.721340283916338e-37
324,SETD7,0.5310994161517656,0.5688350514653149,6.4020786519766944e-37
361,CSK,0.4575634809459293,0.5686021156631964,6.744137665917183e-37
263,PTPRD,-1.0440559231111837,0.6214982975471487,7.45730583186592e-37
107,ITGAL,1.0573305034142797,0.5672664238190993,9.084812857155046e-37
53,RPS6KB2,0.4542154702602455,0.5822788431076211,1.0145457113645986e-36
207,ITGA4,0.7121240574729916,0.5647593425211994,1.5853003631053117e-36
654,ABCB1,-1.022093521858909,0.5625074876231442,2.606847170824438e-36
99,SLC5A12,-1.2422384723450586,0.5623202586623176,2.7165977423688297e-36
268,ITGAM,0.7936775448637405,0.5597989966360412,4.7256714977220564e-36
525,RRAS2,-0.7281154256725743,0.5582124797732464,6.684371179558975e-36
598,HLA-E,0.614961142873205,0.5576824183459518,7.503363139036469e-36
401,RB1,0.36294041094104146,0.5574075874991121,7.966328499908583e-36
579,DCAF1,-0.23898045395260487,0.5568820960999804,8.931642050962424e-36
86,HLA-DRA,0.8537938677431623,0.5553717855287919,1.2398565845495393e-35
599,HAVCR2,1.167845982442269,0.5665094627245753,3.10952325529457e-35
195,COL4A5,-1.0962101782243987,0.6061752532134328,3.2513597097156104e-35
483,PIK3CD,0.6104802001217945,0.5501170445063064,3.8480450594439824e-35
695,APOA5,-0.853025627707119,0.5498224544486534,4.098699811765217e-35
213,CTSL,-0.6155510034665719,0.5474751802549556,6.766767190187247e-35
703,CETN3,0.34054798932607505,0.547052204985393,7.404531115211214e-35
475,MSH6,0.36153262781917284,0.5469281405682702,7.602633232703356e-35
120,AQP1,-1.036675454157655,0.5451777211571618,1.102586830567692e-34
609,GSTM3,-1.2133736923870166,0.5417525168039136,2.272785127305265e-34
3,RAPGEF1,0.33501308350076764,0.5410586937639897,2.6297177257649635e-34
692,MAP4K4,-0.18614894085243297,0.5398458584932228,3.3917306827021793e-34
689,CLTC,-0.18614894085243297,0.5398458584932228,3.3917306827021793e-34
690,MAP4K4,-0.18614894085243297,0.5398458584932228,3.3917306827021793e-34
691,MAP4K4,-0.18614894085243297,0.5398458584932228,3.3917306827021793e-34
245,TGFBR3,-0.5928189324083722,0.5728875594317656,5.719514533380265e-34
266,VPS39,0.245259919898812,0.5371734652829516,5.928032768196755e-34
243,GRB7,-0.4181820765029321,0.5361489087967283,7.336844297453473e-34
440,GPI,0.5896564579596693,0.5359821411917478,7.595606242998057e-34
