,Comparison,Slope,R_squared,P_value
54,MET,0.5876822087690514,0.2425613395209559,2.0505969792514432e-14
49,PRKCB,-0.29379101862503604,0.20137179606960873,5.982751402007771e-12
61,PLCG2,-0.2686399881518452,0.1801372144019437,1.0054081855481732e-10
46,PPP3CB,-0.1728705450416377,0.16789324591754706,4.966798145693663e-10
66,STK3,0.23942560530351972,0.16635510161697298,6.061640558213692e-10
92,DUSP6,0.3491994578186576,0.1707383094460167,7.395079426925637e-10
86,XIAP,0.1702519947869549,0.15974331552594848,1.421998503467212e-09
56,PTK2,0.2159905848667029,0.15440853379966857,2.8174713920090778e-09
31,FGFR1,-0.5440215056337004,0.17462566398064608,3.2520736848079337e-09
59,PRKCQ,-0.3293712196310825,0.1521471339165572,3.760606684867516e-09
11,PPP2R5E,0.14046831361556747,0.1517119296881689,3.97519245988607e-09
98,STAT5B,-0.19622125960545792,0.1505700542263511,4.597714335599901e-09
29,PFN1,-0.1213174737797505,0.15014601703343514,4.852741302057736e-09
75,CRABP2,1.079412405673885,0.1497664972708221,5.092869570546392e-09
51,CSK,-0.15231816058921435,0.1459507701642716,8.268292026861764e-09
9,RASGRP2,-0.33370436941307047,0.14583908871734969,8.386169839984959e-09
7,ZAP70,-0.27107841808533223,0.14275193934039493,1.239485594006968e-08
57,ARHGEF1,-0.14837074501048297,0.14156290643476704,1.440320222553121e-08
12,WAS,-0.19074502987927944,0.13648723517328212,2.7291442495385887e-08
83,MAP4K1,-0.2299259307115202,0.13610339034572977,2.8639363626864258e-08
95,ALDOA,0.21362051614463112,0.1330365940741806,4.207012141157094e-08
15,MAP2K6,-0.24579167698131765,0.1315666947190359,5.0565395167211954e-08
64,AHR,0.2320553962957446,0.13134867561388658,5.196275756043444e-08
27,MGST1,0.36810965057564377,0.13035377009259272,5.88419781821552e-08
97,EML4,0.19980839497580705,0.13004929955162683,6.112256770164052e-08
32,FOXO1,-0.21626980315942324,0.12935314884779187,6.667197531015733e-08
45,CDH1,0.2543549316698625,0.1293006395630246,6.711029423963515e-08
