Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Phagosome Homo sapiens hsa04145,31/154,5.893687012085995e-07,0.00017268502945411968,0,0,2.6227843817420373,37.62178010884507,ITGB1;STX12;NCF1;TUBAL3;NCF2;NCF4;CORO1A;ACTB;FCGR3A;HLA-DMA;HLA-DMB;TUBB1;LAMP2;ITGAV;CD36;ATP6V1E2;MBL2;DYNC1H1;ATP6V1G1;HLA-DRB4;TUBB2B;FCGR2A;HLA-DPB1;SEC22B;FCGR2B;RAB5A;ATP6V0C;HLA-DRB1;VAMP3;TLR2;HLA-DQB1,KEGG_2016
SNARE interactions in vesicular transport Homo sapiens hsa04130,12/34,4.458235623771877e-06,0.0006531315188825799,0,0,4.598582103851314,56.658014808601465,GOSR2;STX8;GOSR1;BNIP1;STX3;STX2;SEC22B;SNAP29;STX11;STX10;VTI1B;VAMP3,KEGG_2016
Complement and coagulation cascades Homo sapiens hsa04610,19/79,6.0146209667391565e-06,0.0005874279810848575,0,0,3.133632952624417,37.670395790827584,F10;SERPIND1;SERPINC1;PROS1;SERPINF2;F2;KNG1;C4A;F7;C8G;F9;C6;PROC;C9;MASP1;A2M;KLKB1;CFB;MBL2,KEGG_2016
Viral myocarditis Homo sapiens hsa05416,16/59,6.186794121507479e-06,0.00045318266940042284,0,0,3.5333738199083533,42.37608265603628,HLA-DRB4;LAMA2;ACTB;CASP9;HLA-DMA;CASP8;HLA-DMB;RAC2;HLA-DPB1;CYCS;DMD;FYN;BID;EIF4G3;HLA-DRB1;HLA-DQB1,KEGG_2016
HTLV-I infection Homo sapiens hsa05166,39/258,3.557704545947469e-05,0.0020848148639252173,0,0,1.9695477615332169,20.175672894626814,ATF2;SRF;PDGFA;XIAP;ADCY6;ANAPC11;HLA-DMA;NRAS;CDC23;HLA-DMB;PRKACG;DVL1;BUB3;PDGFRB;RANBP1;MAP3K3;JUN;FZD2;HLA-DRB4;CDKN2C;MAP3K1;NFYB;FZD7;RRAS2;NFATC1;TGFBR1;TNFRSF1A;NFKBIA;CREB1;VDAC3;HLA-DPB1;VDAC1;TLN2;TCF3;HLA-DRB1;ANAPC1;RAN;HLA-DQB1;ANAPC2,KEGG_2016
Citrate cycle (TCA cycle) Homo sapiens hsa00020,10/30,4.9687236557959474e-05,0.002426393385247021,0,0,4.3431053203040175,43.03914209573053,FH;MDH2;IDH3B;OGDH;OGDHL;SUCLG1;DLAT;ACO2;SDHA;PCK2,KEGG_2016
RNA degradation Homo sapiens hsa03018,17/77,5.9589727715700296e-05,0.002494255745814312,0,0,2.8766022251364265,27.983665128421176,TTC37;ZCCHC7;DIS3L;CNOT10;LSM5;PATL1;EXOSC7;EXOSC6;CNOT7;LSM6;EXOSC9;CNOT2;C1D;EXOSC8;EXOSC2;DCPS;MPHOSPH6,KEGG_2016
Staphylococcus aureus infection Homo sapiens hsa05150,14/56,6.262572581290121e-05,0.002293667207897507,0,0,3.2573289902280136,31.525519246904373,HLA-DRB4;FPR1;C4A;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;MASP1;FCGR2B;CFB;HLA-DRB1;MBL2;HLA-DQB1,KEGG_2016
Leishmaniasis Homo sapiens hsa05140,15/73,0.0003672152101817752,0.01195489517591779,0,0,2.677256704296997,21.175929172314,ITGB1;JUN;HLA-DRB4;NCF1;NCF2;NCF4;NFKBIA;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;HLA-DRB1;TLR2;HLA-DQB1,KEGG_2016
Platelet activation Homo sapiens hsa04611,21/122,0.0003773045379812101,0.011055022962849456,0,0,2.2427511080258453,17.678391197158028,LYN;ITGB1;GUCY1A2;ROCK1;ROCK2;SRC;NOS3;ITPR1;ITPR3;GP1BA;RASGRP2;GP6;ACTB;ADCY6;MYL12B;RAP1A;FCGR2A;PRKACG;FYN;TLN2;PRKG1,KEGG_2016
