Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Endometrial,KRAS,SPRY1_proteomics,False,7.362178310531697e-08
Ovarian,KRAS,ZBED1_proteomics,False,2.5112403136291056e-06
Endometrial,KRAS,DUSP4_transcriptomics,False,3.002087081894936e-08
Endometrial,KRAS,SPRY1_transcriptomics,False,2.500901521431167e-07
Colon,KRAS,GALNT10_transcriptomics,False,6.801283799984729e-09
Colon,KRAS,TMCC1_transcriptomics,False,4.5597023647978867e-08
Colon,KRAS,FAIM2_transcriptomics,False,2.0827997463489987e-07
Colon,KRAS,TMEM211_transcriptomics,False,4.705642454171119e-07
Colon,KRAS,TGFBI_transcriptomics,False,6.646078288130196e-07
Colon,KRAS,LY6E_transcriptomics,False,8.340164361343464e-07
Colon,KRAS,PHLDA1_transcriptomics,False,1.2633079977147702e-06
Colon,KRAS,DHX58_transcriptomics,False,1.880427472253164e-06
Ovarian,KRAS,OR1L3_transcriptomics,False,8.293845594982572e-28
Ovarian,KRAS,FAM90A27P_transcriptomics,False,1.1886884658238847e-23
Ovarian,KRAS,TRPM6_transcriptomics,False,7.448552580439572e-18
Ovarian,KRAS,VPS13A_transcriptomics,False,4.2045357529584575e-17
Ovarian,KRAS,SERPINA11_transcriptomics,False,8.462674897917907e-17
Ovarian,KRAS,GABRP_transcriptomics,False,9.499936990980176e-17
Ovarian,KRAS,MOGAT1_transcriptomics,False,2.3125002977028603e-16
Ovarian,KRAS,OR5M1_transcriptomics,False,2.313997788262105e-16
Ovarian,KRAS,PRAMEF17_transcriptomics,False,2.313997788262105e-16
Ovarian,KRAS,VPS52_transcriptomics,False,2.313997788262105e-16
Ovarian,KRAS,AQP2_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,BRD2_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,C18orf64_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,CREB3L4_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,DAXX_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,GLRA1_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,IQCF2_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,KCNK18_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,KRTAP9-2_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,KRTAP9-6_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,KRTAP9-7_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,KRTAP9-8_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,LOC100294145_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,LOC101927257_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,LOC101928600_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,OR9G4_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,RGL2_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,RPS18_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,SLC6A1-AS1_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,SNAR-A13_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,ST7-AS1_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,WDR46_transcriptomics,False,2.313997788262138e-16
Ovarian,KRAS,SLC22A7_transcriptomics,False,2.313997788262154e-16
Ovarian,KRAS,SNORD70_transcriptomics,False,2.313997788262154e-16
Ovarian,KRAS,SCGB1D4_transcriptomics,False,2.3339420014806566e-16
Ovarian,KRAS,GP2_transcriptomics,False,2.382363722159785e-16
Ovarian,KRAS,MBD3L4_transcriptomics,False,2.4435052326333684e-16
Ovarian,KRAS,MBD3L2_transcriptomics,False,2.5678958595681886e-16
Ovarian,KRAS,MMP26_transcriptomics,False,2.6060278597226365e-16
Ovarian,KRAS,MBD3L5_transcriptomics,False,2.6315539849345485e-16
Ovarian,KRAS,MBD3L3_transcriptomics,False,2.6889181437498485e-16
Ovarian,KRAS,TRIM49B_transcriptomics,False,2.9952051671830066e-16
Ovarian,KRAS,TRIM53AP_transcriptomics,False,3.174830989299241e-16
Ovarian,KRAS,TRIM48_transcriptomics,False,3.3011285337594955e-16
Ovarian,KRAS,TRIM51_transcriptomics,False,3.5066589841811304e-16
Ovarian,KRAS,PRAMEF7_transcriptomics,False,3.5253053456067797e-16
Ovarian,KRAS,SERPINA4_transcriptomics,False,3.5376299396127027e-16
Ovarian,KRAS,LOC100505782_transcriptomics,False,3.716658958054956e-16
Ovarian,KRAS,LOC158434_transcriptomics,False,3.730279652014859e-16
Ovarian,KRAS,TRIM64_transcriptomics,False,3.9959144853752494e-16
Ovarian,KRAS,PRAMEF12_transcriptomics,False,4.1412690492471684e-16
Ovarian,KRAS,LOC339593_transcriptomics,False,4.3519977030599727e-16
Ovarian,KRAS,TFF3_transcriptomics,False,4.663125061516032e-16
Ovarian,KRAS,TRIM64B_transcriptomics,False,4.679925023665756e-16
Ovarian,KRAS,LINC01207_transcriptomics,False,4.734994865836959e-16
Ovarian,KRAS,SCGB1D2_transcriptomics,False,4.797308542920668e-16
Ovarian,KRAS,LEFTY1_transcriptomics,False,5.793992463670862e-16
Ovarian,KRAS,C15orf43_transcriptomics,False,6.325001821848068e-16
Ovarian,KRAS,KDM4E_transcriptomics,False,7.378976711195736e-16
Ovarian,KRAS,TCN1_transcriptomics,False,7.623003187839105e-16
Ovarian,KRAS,CISH_transcriptomics,False,7.81725705659429e-16
Ovarian,KRAS,SLC46A2_transcriptomics,False,8.137221894830379e-16
Ovarian,KRAS,FGL1_transcriptomics,False,8.610523998509163e-16
Ovarian,KRAS,LOC649324_transcriptomics,False,9.43495720727223e-16
Ovarian,KRAS,LOC645354_transcriptomics,False,9.686506941967867e-16
Ovarian,KRAS,HMX2_transcriptomics,False,9.881141127250944e-16
Ovarian,KRAS,KRTAP7-1_transcriptomics,False,1.300011779156681e-15
Ovarian,KRAS,FUT6_transcriptomics,False,1.4252315020838268e-15
Ovarian,KRAS,MUC7_transcriptomics,False,1.6965458693305966e-15
Ovarian,KRAS,SLC47A1_transcriptomics,False,1.7013521892865648e-15
