Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Colon,PIK3CA,RAPGEF4_transcriptomics,False,2.784629564627313e-07
Colon,PIK3CA,RGS5_transcriptomics,False,2.904311413747521e-07
Colon,PIK3CA,SERPINB6_transcriptomics,False,1.4867808108660975e-06
Colon,PIK3CA,CYB5D1_transcriptomics,False,1.8067161875365485e-06
Ovarian,PIK3CA,LINC00837_transcriptomics,False,3.5577347746881613e-12
Ovarian,PIK3CA,LOC101927334_transcriptomics,False,5.26885994194597e-11
Ovarian,PIK3CA,LOC100506406_transcriptomics,False,6.70928837636164e-11
Ovarian,PIK3CA,LRRC26_transcriptomics,False,1.3899622220957866e-08
Ovarian,PIK3CA,KCNK16_transcriptomics,False,5.616948190903343e-08
Ovarian,PIK3CA,FAM90A27P_transcriptomics,False,6.579700593472392e-08
Ovarian,PIK3CA,SPINK1_transcriptomics,False,7.589601515822065e-08
Ovarian,PIK3CA,SLC17A1_transcriptomics,False,8.172462849736851e-08
Ovarian,PIK3CA,TRIM43B_transcriptomics,False,2.5424173220508316e-07
Ovarian,PIK3CA,GUCA1C_transcriptomics,False,2.782430566071445e-07
Ovarian,PIK3CA,TRIM43_transcriptomics,False,2.9792879147602985e-07
Ovarian,PIK3CA,SEC1P_transcriptomics,False,3.509076151446012e-07
Ovarian,PIK3CA,KLK12_transcriptomics,False,5.269243826324554e-07
Ovarian,PIK3CA,THSD7A_transcriptomics,False,8.352956130177423e-07
Ovarian,PIK3CA,C15orf43_transcriptomics,False,1.3020320041932466e-06
Ovarian,PIK3CA,VPS13A_transcriptomics,False,1.4637173179942124e-06
Ovarian,PIK3CA,GLIS3-AS1_transcriptomics,False,1.7878452847512814e-06
Ovarian,PIK3CA,WDR16_transcriptomics,False,1.9916231603061743e-06
Colon,PIK3CA,ERCC5_S563__P28715_phosphoproteomics,False,5.428537257636405e-08
